,product_number,prod_category_1,prod_category_2,prod_category_3,prod_category_4,prod_category_5,prod_category_6,prod_category_7,specs,display_size,segment_1,segment_2,segment_3,nweek,year
0,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,2021
1,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,2021
2,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,2021
3,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,22,2021
4,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,2021
5,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,2021
6,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,2021
7,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,2021
8,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,2021
9,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,2021
10,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,2021
11,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,2021
12,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,2021
13,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,2021
14,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,2021
15,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,2021
16,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,2021
17,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,2021
18,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,2021
19,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,2021
20,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,2021
21,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,2021
22,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,2021
23,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,2021
24,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,2021
25,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,2021
26,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,2021
27,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,2021
28,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,2021
29,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,2021
30,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,2021
31,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,2021
32,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,2022
33,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,2022
34,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,2022
35,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,2022
36,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,2022
37,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,2022
38,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,2022
39,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,2022
40,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,2022
41,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,2022
42,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,2022
43,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,2022
44,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,2022
45,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,2022
46,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,2022
47,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,2022
48,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,2022
49,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,2022
50,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,2022
51,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,2022
52,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,2022
53,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,2022
54,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,2022
55,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,2022
56,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,2022
57,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,2022
58,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,2022
59,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,2022
60,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,2022
61,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,2022
62,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,2022
63,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,2022
64,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,2022
65,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,2022
66,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,2022
67,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,2022
68,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,2022
69,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,2022
70,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,2022
71,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,2022
72,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,2022
73,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,2022
74,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,2022
75,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,45,2022
76,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,2022
77,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,2022
78,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,2022
79,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,2022
80,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,2022
81,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,2022
82,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,2022
83,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,2023
84,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,2023
85,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,2023
86,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,2023
87,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,2023
88,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,2023
89,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,2023
90,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,2023
91,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,2023
92,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,2023
93,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,2023
94,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,2023
95,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,2023
96,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,2023
97,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,2023
98,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,2023
99,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,2023
100,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,18,2023
101,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,19,2021
102,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,20,2021
103,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,21,2021
104,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,22,2021
105,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,23,2021
106,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,24,2021
107,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,25,2021
108,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,26,2021
109,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,27,2021
110,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,28,2021
111,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,29,2021
112,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,30,2021
113,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,31,2021
114,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,32,2021
115,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,33,2021
116,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,34,2021
117,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,35,2021
118,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,36,2021
119,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,37,2021
120,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,38,2021
121,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,39,2021
122,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,40,2021
123,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,41,2021
124,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,42,2021
125,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,43,2021
